id,gender,group,day1,day2,day3,day4,day5,session1,session2,session3,session4,task1,task2,task3,task4,task5
1,2,1,2,3,2,2,2,2,3,3,2,2,2,3,3,3
2,2,1,3,2,2,1,2,2,3,2,3,2,3,3,3,1
3,1,1,2,1,1,1,2,1,2,3,1,1,1,1,1,1
4,2,1,4,4,3,1,4,2,3,4,4,2,1,3,3,2
5,1,1,2,2,3,2,3,2,1,3,2,2,3,2,2,1
7,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1
8,2,1,2,1,1,1,1,2,1,1,1,2,1,3,3,1
9,2,1,3,2,3,2,3,1,2,3,2,1,3,2,2,3
11,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1
13,2,1,4,3,3,1,4,1,1,4,4,1,1,4,2,1
14,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
15,1,1,4,3,3,3,3,2,2,4,3,3,3,2,1,1
17,2,1,3,3,3,1,3,2,2,3,3,3,2,2,1,2
21,2,1,4,4,3,2,3,3,3,4,3,3,2,4,3,3
27,2,1,5,5,5,1,4,2,2,5,5,1,2,3,2,2
28,1,1,4,4,5,2,4,3,3,4,4,3,2,3,3,2
29,2,1,3,3,2,1,3,1,1,3,3,2,1,1,1,3
30,2,1,3,4,3,2,3,1,1,4,3,3,2,4,2,1
31,1,1,2,2,1,1,1,1,2,3,3,2,1,4,4,3
33,2,1,3,3,3,1,3,2,3,4,4,2,3,4,4,1
34,2,1,1,2,2,1,1,1,1,3,1,1,1,3,2,1
35,2,1,4,4,3,2,5,4,4,4,3,3,4,2,2,4
39,2,1,3,2,1,1,3,2,2,2,2,3,3,2,2,1
41,2,1,5,5,2,1,4,4,5,5,5,4,3,5,4,5
44,2,1,2,3,1,1,1,2,1,2,3,1,2,2,1,1
47,2,1,4,4,3,2,4,3,2,3,4,4,3,4,4,3
48,2,1,4,5,2,3,5,3,2,4,5,1,3,4,4,4
58,2,1,5,4,3,3,5,2,3,4,4,5,4,4,3,5
59,2,1,3,4,3,2,1,4,3,3,2,3,2,1,1,2
60,2,1,4,4,2,3,3,3,3,4,4,4,3,3,4,5
62,2,1,3,3,1,1,4,1,1,4,4,2,3,2,2,1
66,2,1,4,3,2,3,3,2,2,3,2,3,3,4,4,2
69,2,1,2,3,3,1,4,2,2,4,3,3,2,3,2,2
70,2,1,5,5,5,3,4,3,5,5,5,4,5,5,5,3
72,2,1,4,5,5,4,5,3,4,4,5,5,5,4,4,4
74,2,1,2,3,3,2,2,1,1,3,2,2,1,3,3,3
75,2,1,4,5,4,2,3,1,2,2,2,1,3,4,4,3
76,2,1,5,5,1,3,3,2,2,3,1,5,4,3,1,3
77,2,1,5,4,5,1,3,3,3,5,5,1,2,3,2,3
78,2,1,3,4,1,2,2,3,4,2,2,4,2,5,5,4
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,2,2,3,3,4,2,3,2,2,4,4,1,1,4,3,2
16,2,2,2,3,3,1,1,1,2,2,3,2,1,2,1,1
18,2,2,4,4,4,3,4,3,2,4,4,3,3,3,4,3
20,2,2,4,3,3,2,3,2,2,5,2,2,2,3,3,2
22,2,2,3,4,3,2,3,3,2,3,4,2,2,3,3,2
26,2,2,3,1,1,1,3,1,1,2,1,1,1,4,1,3
32,2,2,3,4,1,2,3,2,3,3,2,3,3,5,3,3
36,2,2,4,3,1,1,1,1,1,2,1,1,3,2,2,1
38,2,2,4,4,2,1,1,3,4,2,1,1,1,3,3,4
40,2,2,3,2,1,1,3,1,2,2,2,1,3,2,1,2
42,1,2,3,3,3,2,2,2,2,4,4,4,3,3,2,2
43,2,2,4,4,1,2,1,2,3,3,3,3,1,4,3,3
45,2,2,3,3,2,2,3,1,2,3,3,2,2,3,3,2
49,2,2,1,3,1,2,2,2,3,2,2,1,2,2,1,1
50,2,2,1,2,2,2,4,1,1,5,3,1,2,4,4,2
52,2,2,4,3,1,1,3,1,2,2,2,2,2,3,4,3
55,2,2,3,4,2,1,1,1,2,3,3,3,1,2,1,1
61,2,2,3,3,2,1,2,1,2,3,3,2,3,1,1,2
67,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
68,2,2,3,4,1,1,3,2,2,3,3,3,1,4,3,2
73,1,2,3,3,3,2,1,2,2,3,3,1,1,2,2,2
79,2,2,3,3,3,2,2,3,2,4,4,3,3,3,3,4
19,2,2,3,3,2,1,2,3,3,3,3,2,3,2,3,3
23,2,2,4,3,3,2,3,3,4,4,3,3,3,4,3,3
24,1,2,3,2,1,2,2,2,2,3,3,3,2,3,2,2
37,2,2,2,2,3,1,1,1,2,2,1,2,2,2,3,2
46,2,2,4,3,2,2,3,2,3,3,2,2,2,3,3,3
53,1,2,2,2,1,1,1,2,2,3,2,2,1,2,1,2
56,2,2,4,3,3,3,3,2,1,4,3,1,2,3,4,3
57,2,2,3,2,3,1,3,2,3,3,4,2,1,5,5,5
63,2,2,3,3,3,2,2,3,3,4,4,4,2,3,3,3
64,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1
65,2,2,3,3,3,2,3,2,2,3,2,2,1,3,2,2
71,2,2,4,4,2,3,4,2,3,4,4,2,4,4,4,3
25,2,2,3,4,2,2,2,1,2,3,1,2,3,2,1,3
51,2,2,1,1,1,2,2,2,2,1,1,1,2,3,3,2
54,2,2,4,5,2,1,5,2,1,3,3,3,2,4,3,3
80,2,2,4,4,3,1,1,1,1,3,3,1,1,1,3,1
10,2,2,3,2,1,2,1,1,1,2,3,1,2,3,3,2
